Timestamp,Class Name,Confidence,"Bounding Box (x1, y1, x2, y2)","Center (x, y)",Depth (mm)
2024-07-19 16:46:38,bottle,0.27,"(253, 303), (283, 348)","(268, 325)",1247
2024-07-19 16:46:38,chair,0.26,"(396, 394), (520, 479)","(458, 436)",1739
2024-07-19 16:46:38,chair,0.25,"(427, 260), (497, 317)","(462, 288)",3909
2024-07-19 16:46:39,vase,0.32,"(219, 177), (258, 333)","(238, 255)",3409
2024-07-19 16:46:39,chair,0.34,"(406, 393), (549, 479)","(477, 436)",1681
2024-07-19 16:46:39,book,0.29,"(474, 280), (510, 328)","(492, 304)",3131
2024-07-19 16:46:39,book,0.38,"(470, 299), (509, 349)","(489, 324)",3099
2024-07-19 16:46:39,book,0.30,"(454, 304), (484, 347)","(469, 325)",3697
2024-07-19 16:46:39,book,0.32,"(470, 297), (508, 348)","(489, 322)",3282
2024-07-19 16:46:39,book,0.29,"(451, 301), (481, 346)","(466, 323)",3884
2024-07-19 16:46:39,book,0.29,"(464, 298), (497, 347)","(480, 322)",3487
2024-07-19 16:46:39,book,0.27,"(453, 302), (490, 347)","(471, 324)",3788
2024-07-19 16:46:40,book,0.33,"(463, 279), (495, 330)","(479, 304)",3675
2024-07-19 16:46:40,book,0.30,"(447, 284), (479, 329)","(463, 306)",3788
2024-07-19 16:46:40,book,0.27,"(456, 281), (491, 330)","(473, 305)",3697
2024-07-19 16:46:40,book,0.26,"(439, 275), (474, 324)","(456, 299)",3860
2024-07-19 16:46:40,bottle,0.33,"(184, 328), (212, 374)","(198, 351)",1719
2024-07-19 16:46:40,book,0.28,"(410, 248), (444, 300)","(427, 274)",4064
2024-07-19 16:46:40,cup,0.46,"(203, 326), (242, 357)","(222, 341)",1189
2024-07-19 16:46:40,cup,0.32,"(202, 326), (220, 354)","(211, 340)",1271
2024-07-19 16:46:41,chair,0.57,"(594, 167), (639, 458)","(616, 312)",0
2024-07-19 16:46:41,bottle,0.30,"(149, 310), (182, 356)","(165, 333)",1758
2024-07-19 16:46:41,dining table,0.37,"(30, 246), (582, 479)","(306, 362)",1444
2024-07-19 16:46:41,tv,0.33,"(599, 129), (639, 356)","(619, 242)",2485
2024-07-19 16:46:41,dining table,0.40,"(54, 235), (602, 479)","(328, 357)",1479
2024-07-19 16:46:41,bowl,0.43,"(291, 320), (420, 370)","(355, 345)",1461
2024-07-19 16:46:41,chair,0.33,"(596, 199), (639, 478)","(617, 338)",1668
2024-07-19 16:46:41,dining table,0.31,"(59, 325), (583, 479)","(321, 402)",1414
2024-07-19 16:46:41,chair,0.37,"(556, 203), (639, 477)","(597, 340)",1681
2024-07-19 16:46:41,chair,0.74,"(511, 207), (639, 479)","(575, 343)",1924
2024-07-19 16:46:41,book,0.34,"(310, 300), (348, 351)","(329, 325)",1677
2024-07-19 16:46:41,book,0.30,"(294, 311), (325, 360)","(309, 335)",1821
2024-07-19 16:46:42,chair,0.58,"(509, 216), (639, 479)","(574, 347)",1924
2024-07-19 16:46:42,book,0.32,"(309, 306), (346, 357)","(327, 331)",1681
2024-07-19 16:46:42,book,0.29,"(294, 316), (329, 365)","(311, 340)",1748
2024-07-19 16:46:42,chair,0.44,"(496, 211), (639, 479)","(567, 345)",1860
2024-07-19 16:46:42,book,0.36,"(295, 301), (334, 351)","(314, 326)",1632
2024-07-19 16:46:42,book,0.29,"(264, 312), (292, 367)","(278, 339)",1837
2024-07-19 16:46:42,book,0.28,"(278, 310), (310, 364)","(294, 337)",1810
2024-07-19 16:46:42,chair,0.75,"(478, 174), (639, 477)","(558, 325)",1810
2024-07-19 16:46:42,tv,0.62,"(603, 169), (639, 267)","(621, 218)",2680
2024-07-19 16:46:42,book,0.27,"(277, 260), (315, 309)","(296, 284)",4064
2024-07-19 16:46:42,chair,0.71,"(435, 168), (639, 479)","(537, 323)",1912
2024-07-19 16:46:42,tv,0.66,"(554, 152), (639, 264)","(596, 208)",2740
2024-07-19 16:46:42,laptop,0.37,"(554, 152), (639, 266)","(596, 209)",2728
2024-07-19 16:46:42,cup,0.26,"(40, 383), (70, 425)","(55, 404)",1401
2024-07-19 16:46:42,chair,0.49,"(397, 167), (639, 478)","(518, 322)",2059
2024-07-19 16:46:42,tv,0.42,"(508, 151), (639, 268)","(573, 209)",2868
2024-07-19 16:46:42,cup,0.30,"(0, 363), (31, 403)","(15, 383)",0
2024-07-19 16:46:42,tv,0.79,"(482, 168), (625, 271)","(553, 219)",2802
2024-07-19 16:46:42,chair,0.71,"(366, 167), (634, 479)","(500, 323)",2692
2024-07-19 16:46:43,chair,0.78,"(356, 168), (597, 479)","(476, 323)",2728
2024-07-19 16:46:43,tv,0.62,"(474, 177), (613, 276)","(543, 226)",2841
2024-07-19 16:46:43,book,0.35,"(150, 226), (187, 279)","(168, 252)",3742
2024-07-19 16:46:43,book,0.31,"(132, 232), (162, 283)","(147, 257)",2475
2024-07-19 16:46:43,chair,0.70,"(347, 182), (583, 479)","(465, 330)",2623
2024-07-19 16:46:43,tv,0.68,"(464, 191), (601, 286)","(532, 238)",2881
2024-07-19 16:46:43,chair,0.83,"(346, 163), (571, 479)","(458, 321)",2485
2024-07-19 16:46:43,laptop,0.37,"(464, 180), (603, 276)","(533, 228)",2868
2024-07-19 16:46:43,tv,0.36,"(464, 180), (602, 276)","(533, 228)",2868
2024-07-19 16:46:43,chair,0.83,"(347, 161), (570, 479)","(458, 320)",2568
2024-07-19 16:46:43,tv,0.48,"(465, 178), (603, 274)","(534, 226)",2922
2024-07-19 16:46:43,book,0.31,"(142, 194), (176, 248)","(159, 221)",3448
2024-07-19 16:46:43,laptop,0.31,"(465, 179), (603, 274)","(534, 226)",2922
2024-07-19 16:46:43,book,0.28,"(126, 199), (159, 251)","(142, 225)",2397
2024-07-19 16:46:43,chair,0.72,"(349, 153), (574, 479)","(461, 316)",2815
2024-07-19 16:46:43,tv,0.72,"(469, 176), (605, 272)","(537, 224)",2828
2024-07-19 16:46:43,book,0.39,"(125, 191), (157, 245)","(141, 218)",2435
2024-07-19 16:46:43,book,0.34,"(143, 188), (175, 243)","(159, 215)",3147
2024-07-19 16:46:43,book,0.31,"(123, 192), (146, 245)","(134, 218)",2515
2024-07-19 16:46:43,chair,0.83,"(347, 162), (567, 479)","(457, 320)",2692
2024-07-19 16:46:43,tv,0.39,"(466, 179), (603, 279)","(534, 229)",2868
2024-07-19 16:46:43,book,0.35,"(122, 193), (145, 246)","(133, 219)",2495
2024-07-19 16:46:43,book,0.35,"(125, 193), (155, 245)","(140, 219)",2407
2024-07-19 16:46:43,laptop,0.34,"(466, 180), (604, 280)","(535, 230)",2854
2024-07-19 16:46:43,book,0.29,"(143, 189), (174, 243)","(158, 216)",3196
2024-07-19 16:46:44,chair,0.83,"(345, 162), (567, 480)","(456, 321)",2703
2024-07-19 16:46:44,tv,0.61,"(464, 181), (600, 279)","(532, 230)",2881
2024-07-19 16:46:44,book,0.38,"(119, 193), (144, 244)","(131, 218)",2485
2024-07-19 16:46:44,book,0.34,"(140, 188), (171, 241)","(155, 214)",3163
2024-07-19 16:46:44,book,0.33,"(121, 190), (154, 244)","(137, 217)",2397
2024-07-19 16:46:44,book,0.26,"(103, 187), (128, 246)","(115, 216)",2557
2024-07-19 16:46:44,chair,0.82,"(340, 164), (572, 479)","(456, 321)",2790
2024-07-19 16:46:44,tv,0.43,"(455, 183), (594, 281)","(524, 232)",2828
2024-07-19 16:46:44,book,0.29,"(110, 194), (136, 247)","(123, 220)",2485
2024-07-19 16:46:44,book,0.27,"(95, 187), (166, 249)","(130, 218)",2426
2024-07-19 16:46:44,book,0.26,"(114, 193), (149, 247)","(131, 220)",2416
2024-07-19 16:46:44,laptop,0.59,"(449, 189), (586, 285)","(517, 237)",2908
2024-07-19 16:46:44,chair,0.57,"(336, 167), (566, 480)","(451, 323)",2802
2024-07-19 16:46:44,tv,0.48,"(451, 188), (586, 280)","(518, 234)",2854
2024-07-19 16:46:44,book,0.30,"(107, 194), (138, 247)","(122, 220)",2455
